iter	Passed	Remaining
400	24688	36878
401	24756	36826
402	24815	36760
403	24885	36712
404	24951	36657
405	25016	36600
406	25072	36530
407	25142	36480
408	25197	36410
409	25254	36341
410	25312	36274
411	25365	36201
412	25422	36132
413	25482	36069
414	25536	35997
415	25589	35923
416	25646	35856
417	25701	35785
418	25756	35715
419	25813	35647
420	26005	35765
421	26066	35702
422	26126	35638
423	26186	35574
424	26244	35507
425	26295	35431
426	26351	35361
427	26403	35286
428	26454	35210
429	26512	35144
430	26575	35084
431	26628	35011
432	26689	34949
433	26764	34904
434	26821	34837
435	26881	34773
436	26939	34706
437	26995	34638
438	27053	34571
439	27111	34505
440	27167	34436
441	27223	34367
442	27283	34305
443	27345	34243
444	27409	34184
445	27472	34125
446	27531	34059
447	27584	33987
448	27637	33915
449	27693	33847
450	27746	33775
451	27797	33701
452	27850	33629
453	27909	33564
454	27964	33496
455	28016	33423
456	28075	33359
457	28142	33303
458	28201	33240
459	28259	33174
460	28319	33111
461	28382	33051
462	28437	32982
463	28488	32909
464	28540	32836
465	28598	32771
466	28649	32698
467	28703	32629
468	28758	32559
469	28814	32493
470	28870	32425
471	28921	32352
472	28972	32280
473	29029	32213
474	29081	32143
475	29136	32074
476	29188	32003
477	29243	31935
478	29297	31865
479	29346	31792
480	29399	31722
481	29450	31650
482	29502	31579
483	29569	31524
484	29620	31452
485	29674	31384
486	29731	31319
487	29791	31256
488	29846	31189
489	29905	31126
490	29962	31060
491	30021	30997
492	30073	30927
493	30129	30860
494	30180	30790
495	30233	30721
496	30291	30656
497	30348	30592
498	30406	30528
499	30461	30461
500	30518	30396
501	30581	30337
502	30638	30273
503	30704	30217
504	30770	30160
505	30839	30107
506	30917	30063
507	30969	29994
508	31033	29935
509	31092	29873
510	31150	29809
511	31201	29739
512	31259	29674
513	31336	29629
514	31400	29571
515	31461	29510
516	31522	29449
517	31583	29388
518	31640	29324
519	31702	29263
520	31768	29207
521	31830	29147
522	31892	29087
523	31958	29030
524	32022	28973
525	32092	28920
526	32176	28879
527	32239	28820
528	32315	28772
529	32377	28711
530	32434	28647
531	32498	28588
532	32563	28531
533	32620	28466
534	32672	28397
535	32730	28334
536	32793	28274
537	32850	28209
538	32909	28146
539	32966	28082
540	33032	28025
541	33095	27966
542	33156	27905
543	33227	27852
544	33291	27793
545	33351	27731
546	33407	27666
547	33465	27602
548	33532	27546
549	33591	27483
550	33648	27419
551	33704	27354
552	33764	27292
553	33823	27229
554	33879	27164
555	33946	27108
556	34013	27052
557	34075	26991
558	34129	26925
559	34187	26861
560	34250	26801
561	34307	26737
562	34365	26674
563	34418	26607
564	34476	26543
565	34527	26475
566	34581	26408
567	34645	26349
568	34742	26316
569	34798	26251
570	34851	26184
571	34909	26121
572	34960	26052
573	35021	25991
574	35077	25926
575	35127	25857
576	35184	25793
577	35238	25727
578	35291	25661
579	35350	25598
580	35403	25531
581	35459	25467
582	35517	25404
583	35577	25343
584	35635	25279
585	35687	25212
586	35739	25145
587	35795	25080
588	35858	25021
589	35919	24961
590	35982	24901
591	36057	24850
592	36117	24788
593	36170	24722
594	36225	24657
595	36279	24592
596	36333	24526
597	36383	24458
598	36435	24392
599	36489	24326
600	36542	24260
601	36591	24191
602	36642	24124
603	36698	24060
604	36750	23993
605	36802	23927
606	36852	23860
607	36909	23796
608	36963	23731
609	37014	23665
